"filename", "language", "JSON", "TypeScript", "SCSS", "Django Template", "XML", "comment", "blank", "total"
"c:\Source\anita\app\src\app\libs\db-connector\plugins\mysql\db-store\dbstore.class.ts", "TypeScript", 0, 26, 0, 0, 0, 3, 11, 40
"c:\Source\anita\app\src\app\libs\db-connector\plugins\mysql\db-updator\db-updator.class.ts", "TypeScript", 0, 22, 0, 0, 0, 19, 6, 47
"c:\Source\anita\app\src\app\libs\db-connector\plugins\mysql\exporter.constant.ts", "TypeScript", 0, 14, 0, 0, 0, 3, 2, 19
"c:\Source\anita\app\src\app\libs\db-connector\plugins\mysql\helpers\execute-query.function.ts", "TypeScript", 0, 10, 0, 0, 0, 3, 2, 15
"c:\Source\anita\app\src\app\libs\db-connector\plugins\mysql\helpers\query-maker.class.ts", "TypeScript", 0, 54, 0, 0, 0, 23, 13, 90
"c:\Source\anita\app\src\app\libs\db-connector\plugins\mysql\helpers\where-builder.class.ts", "TypeScript", 0, 24, 0, 0, 0, 16, 8, 48
"c:\Source\anita\app\src\app\libs\id-creator\id-creator.class.ts", "TypeScript", 0, 15, 0, 0, 0, 9, 11, 35
"c:\Source\anita\app\src\app\libs\logger\logger.class.ts", "TypeScript", 0, 60, 0, 0, 0, 44, 27, 131
"c:\Source\anita\app\src\app\libs\ng-rx\ngrx-actions.const.ts", "TypeScript", 0, 9, 0, 0, 0, 6, 2, 17
"c:\Source\anita\app\src\app\libs\ng-rx\reducers.const.ts", "TypeScript", 0, 14, 0, 0, 0, 6, 3, 23
"c:\Source\anita\app\src\app\libs\ng-rx\reducers\project.reducer.ts", "TypeScript", 0, 12, 0, 0, 0, 9, 4, 25
"c:\Source\anita\app\src\app\libs\ng-rx\reducers\projects.reducer.ts", "TypeScript", 0, 18, 0, 0, 0, 9, 4, 31
"c:\Source\anita\app\src\app\libs\ng-rx\reducers\sections-for-child-of-selector.reducer.ts", "TypeScript", 0, 24, 0, 0, 0, 11, 5, 40
"c:\Source\anita\app\src\app\libs\projects-helpers\file-handle-helpers\project-file-importer.class.ts", "TypeScript", 0, 49, 0, 0, 0, 37, 12, 98
"c:\Source\anita\app\src\app\libs\projects-helpers\project-handlers\current-project-setter.class.ts", "TypeScript", 0, 13, 0, 0, 0, 10, 5, 28
"c:\Source\anita\app\src\app\libs\projects-helpers\project-handlers\project-deletor.class.ts", "TypeScript", 0, 19, 0, 0, 0, 16, 7, 42
"c:\Source\anita\app\src\app\libs\projects-helpers\project-handlers\project-saver.class.ts", "TypeScript", 0, 46, 0, 0, 0, 0, 15, 61
"c:\Source\anita\app\src\app\libs\projects-helpers\project-handlers\save-project-settings-in-indexeddb.class.ts", "TypeScript", 0, 27, 0, 0, 0, 24, 9, 60
"c:\Source\anita\app\src\app\libs\projects-helpers\projects-handlers\projects-list-loader.class.ts", "TypeScript", 0, 18, 0, 0, 0, 15, 7, 40
"c:\Source\anita\app\src\app\libs\projects-helpers\section-elements-handlers\element-saver.class.ts", "TypeScript", 0, 42, 0, 0, 0, 27, 13, 82
"c:\Source\anita\app\src\app\libs\tools\find-first-user-defined-field.function.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 6, 18
"c:\Source\anita\app\src\app\libs\tools\find-section-by-id.function.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 2, 6
"c:\Source\anita\app\src\app\libs\tools\tools.ts", "TypeScript", 0, 11, 0, 0, 0, 11, 3, 25
"c:\Source\anita\app\src\app\ng-services\app-routing\current-route.constant.ts", "TypeScript", 0, 35, 0, 0, 0, 6, 8, 49
"c:\Source\anita\app\src\app\ng-services\app-routing\route-listener.service.ts", "TypeScript", 0, 47, 0, 0, 0, 24, 11, 82
"c:\Source\anita\app\src\app\ng-services\guard-services\project-guard.service.ts", "TypeScript", 0, 22, 0, 0, 0, 3, 9, 34
"c:\Source\anita\app\src\app\ng-services\guard-services\projects-guard.service.ts", "TypeScript", 0, 27, 0, 0, 0, 3, 9, 39
"c:\Source\anita\app\src\app\ng-services\startupper\startupper.service.ts", "TypeScript", 0, 43, 0, 0, 0, 18, 11, 72
"c:\Source\anita\app\src\app\ng-services\state-data\state-data.constant.ts", "TypeScript", 0, 9, 0, 0, 0, 5, 4, 18
"c:\Source\anita\app\src\app\ng-services\state-data\state-data.service.ts", "TypeScript", 0, 15, 0, 0, 0, 6, 5, 26
"c:\Source\anita\app\src\app\ui\app-component\app-component.module.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 2, 17
"c:\Source\anita\app\src\app\ui\app-component\app.component.html", "Django Template", 0, 0, 0, 5, 0, 0, 0, 5
"c:\Source\anita\app\src\app\ui\app-component\app.component.scss", "SCSS", 0, 0, 18, 0, 0, 0, 1, 19
"c:\Source\anita\app\src\app\ui\app-component\app.component.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 2, 10
"c:\Source\anita\app\src\app\ui\app-component\routes.contant.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 6, 14
"c:\Source\anita\app\src\app\ui\editor-mode.enum.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 1, 5
"c:\Source\anita\app\src\app\ui\routed-views\project\components\element-value-viewer\element-value-viewer.component.html", "Django Template", 0, 0, 0, 24, 0, 0, 0, 24
"c:\Source\anita\app\src\app\ui\routed-views\project\components\element-value-viewer\element-value-viewer.component.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 6, 40
"c:\Source\anita\app\src\app\ui\routed-views\project\components\no-elements\no-elements.component.html", "Django Template", 0, 0, 0, 10, 0, 0, 0, 10
"c:\Source\anita\app\src\app\ui\routed-views\project\components\no-elements\no-elements.component.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 6, 26
"c:\Source\anita\app\src\app\ui\routed-views\project\components\parent-info-viewer-and-link\parent-info-viewer-and-link.component.html", "Django Template", 0, 0, 0, 4, 0, 0, 0, 4
"c:\Source\anita\app\src\app\ui\routed-views\project\components\parent-info-viewer-and-link\parent-info-viewer-and-link.component.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 11, 47
"c:\Source\anita\app\src\app\ui\routed-views\project\components\project-details\project-details.component.html", "Django Template", 0, 0, 0, 6, 0, 0, 0, 6
"c:\Source\anita\app\src\app\ui\routed-views\project\components\project-details\project-details.component.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 4, 14
"c:\Source\anita\app\src\app\ui\routed-views\project\components\project-info\project-info.component.html", "Django Template", 0, 0, 0, 13, 0, 0, 0, 13
"c:\Source\anita\app\src\app\ui\routed-views\project\components\project-info\project-info.component.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 5, 22
"c:\Source\anita\app\src\app\ui\routed-views\project\components\section-element-details\section-element-details.component.html", "Django Template", 0, 0, 0, 20, 0, 0, 0, 20
"c:\Source\anita\app\src\app\ui\routed-views\project\components\section-element-details\section-element-details.component.scss", "SCSS", 0, 0, 3, 0, 0, 0, 0, 3
"c:\Source\anita\app\src\app\ui\routed-views\project\components\section-element-details\section-element-details.component.ts", "TypeScript", 0, 54, 0, 0, 0, 5, 14, 73
"c:\Source\anita\app\src\app\ui\routed-views\project\components\section-element-editor\component-code-to-name.class.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 9, 35
"c:\Source\anita\app\src\app\ui\routed-views\project\components\section-element-editor\parent-info-form-model-adder.class.ts", "TypeScript", 0, 46, 0, 0, 0, 0, 10, 56
"c:\Source\anita\app\src\app\ui\routed-views\project\components\section-element-editor\section-element-editor.component.html", "Django Template", 0, 0, 0, 18, 0, 0, 0, 18
"c:\Source\anita\app\src\app\ui\routed-views\project\components\section-element-editor\section-element-editor.component.ts", "TypeScript", 0, 82, 0, 0, 0, 4, 17, 103
"c:\Source\anita\app\src\app\ui\routed-views\project\components\section-elements-list\elements-list\elements-list.component.html", "Django Template", 0, 0, 0, 31, 0, 0, 3, 34
"c:\Source\anita\app\src\app\ui\routed-views\project\components\section-elements-list\elements-list\elements-list.component.scss", "SCSS", 0, 0, 14, 0, 0, 6, 1, 21
"c:\Source\anita\app\src\app\ui\routed-views\project\components\section-elements-list\elements-list\elements-list.component.ts", "TypeScript", 0, 93, 0, 0, 0, 13, 18, 124
"c:\Source\anita\app\src\app\ui\routed-views\project\components\section-elements-list\section-list.component.html", "Django Template", 0, 0, 0, 11, 0, 0, 0, 11
"c:\Source\anita\app\src\app\ui\routed-views\project\components\section-elements-list\section-list.component.ts", "TypeScript", 0, 47, 0, 0, 0, 2, 12, 61
"c:\Source\anita\app\src\app\ui\routed-views\project\helpers\get-parent-info-for-details-view.class.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 7, 42
"c:\Source\anita\app\src\app\ui\routed-views\project\pipes\first-user-defined-field.pipe.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 4, 12
"c:\Source\anita\app\src\app\ui\routed-views\project\pipes\section-by-id.pipe.ts", "TypeScript", 0, 8, 0, 0, 0, 3, 4, 15
"c:\Source\anita\app\src\app\ui\routed-views\project\pipes\txt-by-field-value.pipe.ts", "TypeScript", 0, 13, 0, 0, 0, 3, 6, 22
"c:\Source\anita\app\src\app\ui\routed-views\project\project-routes.constant.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 7, 23
"c:\Source\anita\app\src\app\ui\routed-views\project\project.module.ts", "TypeScript", 0, 62, 0, 0, 0, 0, 2, 64
"c:\Source\anita\app\src\app\ui\routed-views\projects\components\no-projects\no-projects.component.html", "Django Template", 0, 0, 0, 11, 0, 0, 0, 11
"c:\Source\anita\app\src\app\ui\routed-views\projects\components\no-projects\no-projects.component.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 9, 46
