"filename", "language", "TypeScript React", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Source\anita\app\src\app\libs\project-helpers\parent-info-form-ele-builder\parent-info-obj-to-string.function.ts", "TypeScript", 0, 8, 0, 4, 1, 13
"c:\Source\anita\app\src\app\libs\project-helpers\parent-info-form-ele-builder\parent-info-string-to-obj.function.ts", "TypeScript", 0, 29, 0, 15, 17, 61
"c:\Source\anita\app\src\app\libs\project-helpers\project-handlers\current-project-setter.class.ts", "TypeScript", 0, 15, 0, 10, 5, 30
"c:\Source\anita\app\src\app\libs\project-helpers\project-handlers\is-project-loaded.function.ts", "TypeScript", 0, 6, 0, 4, 2, 12
"c:\Source\anita\app\src\app\libs\project-helpers\project-handlers\project-deletor.class.ts", "TypeScript", 0, 19, 0, 16, 7, 42
"c:\Source\anita\app\src\app\libs\project-helpers\project-handlers\project-loader.class.ts", "TypeScript", 0, 26, 0, 16, 8, 50
"c:\Source\anita\app\src\app\libs\project-helpers\project-handlers\project-saver.class.ts", "TypeScript", 0, 48, 0, 0, 19, 67
"c:\Source\anita\app\src\app\libs\project-helpers\project-handlers\save-project-settings-in-indexeddb.class.ts", "TypeScript", 0, 27, 0, 24, 9, 60
"c:\Source\anita\app\src\app\libs\project-helpers\section-elements-handlers\element-saver.class.ts", "TypeScript", 0, 48, 0, 30, 14, 92
"c:\Source\anita\app\src\app\libs\project-helpers\txt-by-field-value.function.ts", "TypeScript", 0, 7, 0, 5, 5, 17
"c:\Source\anita\app\src\app\libs\projects-helpers\file-handle-helpers\project-file-importer.class.ts", "TypeScript", 0, 49, 0, 37, 12, 98
"c:\Source\anita\app\src\app\libs\projects-helpers\projects-handlers\projects-list-loader.class.ts", "TypeScript", 0, 18, 0, 15, 7, 40
"c:\Source\anita\app\src\app\libs\projects-helpers\sections-forms-helpers\section-form-ele-generator.class.ts", "TypeScript", 0, 29, 0, 22, 9, 60
"c:\Source\anita\app\src\app\libs\redux\action.type.ts", "TypeScript", 0, 74, 0, 0, 12, 86
"c:\Source\anita\app\src\app\libs\redux\reducers.const.ts", "TypeScript", 0, 26, 0, 6, 3, 35
"c:\Source\anita\app\src\app\libs\redux\reducers\form-element.reducer.ts", "TypeScript", 0, 19, 0, 6, 4, 29
"c:\Source\anita\app\src\app\libs\redux\reducers\form-eles-valid-state.reducer.ts", "TypeScript", 0, 21, 0, 6, 3, 30
"c:\Source\anita\app\src\app\libs\redux\reducers\form-project.reducer.ts", "TypeScript", 0, 80, 0, 8, 4, 92
"c:\Source\anita\app\src\app\libs\redux\reducers\layout.reducer.ts", "TypeScript", 0, 18, 0, 6, 4, 28
"c:\Source\anita\app\src\app\libs\redux\reducers\project.reducer.ts", "TypeScript", 0, 12, 0, 6, 3, 21
"c:\Source\anita\app\src\app\libs\redux\reducers\projects.reducer.ts", "TypeScript", 0, 14, 0, 6, 2, 22
"c:\Source\anita\app\src\app\libs\redux\reducers\sections-for-child-of-selector.reducer.ts", "TypeScript", 0, 20, 0, 8, 5, 33
"c:\Source\anita\app\src\app\libs\redux\redux-actions.const.ts", "TypeScript", 0, 22, 0, 8, 1, 31
"c:\Source\anita\app\src\app\libs\redux\state.store.ts", "TypeScript", 0, 4, 0, 0, 2, 6
"c:\Source\anita\app\src\app\libs\startupper\startupper.class.ts", "TypeScript", 0, 23, 0, 12, 7, 42
"c:\Source\anita\app\src\app\libs\tools\check-is-valid-value-for-controlled-react-form.function.ts", "TypeScript", 0, 3, 0, 0, 0, 3
"c:\Source\anita\app\src\app\libs\tools\find-first-user-defined-field.function.ts", "TypeScript", 0, 12, 0, 0, 6, 18
"c:\Source\anita\app\src\app\libs\tools\find-section-by-id.function.ts", "TypeScript", 0, 4, 0, 0, 2, 6
"c:\Source\anita\app\src\app\libs\tools\tools.ts", "TypeScript", 0, 11, 0, 11, 3, 25
"c:\Source\anita\app\src\app\ui-react-components\admin-layout\admin-layout.component.tsx", "TypeScript React", 19, 0, 0, 0, 2, 21
"c:\Source\anita\app\src\app\ui-react-components\admin-layout\components\sidebar-menu.component.tsx", "TypeScript React", 60, 0, 0, 0, 11, 71
"c:\Source\anita\app\src\app\ui-react-components\admin-layout\content.component.tsx", "TypeScript React", 6, 0, 0, 0, 1, 7
"c:\Source\anita\app\src\app\ui-react-components\admin-layout\header.component.tsx", "TypeScript React", 26, 0, 0, 0, 6, 32
"c:\Source\anita\app\src\app\ui-react-components\admin-layout\sidebar.component.tsx", "TypeScript React", 26, 0, 0, 0, 3, 29
"c:\Source\anita\app\src\app\ui-react-components\editor-mode.enum.ts", "TypeScript", 0, 4, 0, 0, 1, 5
"c:\Source\anita\app\src\app\ui-react-components\project\add-edit-components\form-element-manager.component.tsx", "TypeScript React", 28, 0, 0, 0, 6, 34
"c:\Source\anita\app\src\app\ui-react-components\project\add-edit-components\save-element.component.tsx", "TypeScript React", 30, 0, 0, 0, 6, 36
"c:\Source\anita\app\src\app\ui-react-components\project\add-edit-section-element.component.tsx", "TypeScript React", 47, 0, 0, 0, 15, 62
"c:\Source\anita\app\src\app\ui-react-components\project\details-components\parents-link-shower.component.tsx", "TypeScript React", 35, 0, 0, 0, 7, 42
"c:\Source\anita\app\src\app\ui-react-components\project\list-components\tableList.component.tsx", "TypeScript React", 71, 0, 0, 11, 8, 90
"c:\Source\anita\app\src\app\ui-react-components\project\list-components\td-with-link-to-details.component.tsx", "TypeScript React", 21, 0, 0, 0, 4, 25
"c:\Source\anita\app\src\app\ui-react-components\project\no-section-data.component.tsx", "TypeScript React", 21, 0, 0, 0, 2, 23
"c:\Source\anita\app\src\app\ui-react-components\project\project-details.component.tsx", "TypeScript React", 49, 0, 0, 1, 18, 68
"c:\Source\anita\app\src\app\ui-react-components\project\section-element-details.component.tsx", "TypeScript React", 73, 0, 0, 0, 16, 89
"c:\Source\anita\app\src\app\ui-react-components\project\section-elements-list.component.tsx", "TypeScript React", 47, 0, 0, 0, 13, 60
"c:\Source\anita\app\src\app\ui-react-components\project\values-renderers\basic-text.component.tsx", "TypeScript React", 1, 0, 0, 0, 1, 2
"c:\Source\anita\app\src\app\ui-react-components\project\values-renderers\check-box-as-check.component.tsx", "TypeScript React", 1, 0, 0, 0, 1, 2
"c:\Source\anita\app\src\app\ui-react-components\project\values-renderers\custom-render-picker.component.tsx", "TypeScript React", 25, 0, 0, 0, 2, 27
"c:\Source\anita\app\src\app\ui-react-components\project\values-renderers\formatted-date-time.component.tsx", "TypeScript React", 2, 0, 0, 0, 2, 4
"c:\Source\anita\app\src\app\ui-react-components\project\values-renderers\formatted-date.component.tsx", "TypeScript React", 2, 0, 0, 0, 2, 4
"c:\Source\anita\app\src\app\ui-react-components\project\values-renderers\text-from-options-by-value.component.tsx", "TypeScript React", 3, 0, 0, 0, 2, 5
"c:\Source\anita\app\src\app\ui-react-components\projects\add-edit-project-components\form-project-manager.component.tsx", "TypeScript React", 61, 0, 0, 0, 6, 67
"c:\Source\anita\app\src\app\ui-react-components\projects\add-edit-project-components\section-form-model-manager.component.tsx", "TypeScript React", 84, 0, 0, 0, 11, 95
"c:\Source\anita\app\src\app\ui-react-components\projects\add-edit-project-components\section-manager.component.tsx", "TypeScript React", 82, 0, 0, 0, 8, 90
"c:\Source\anita\app\src\app\ui-react-components\projects\add-edit-project.component.tsx", "TypeScript React", 55, 0, 0, 2, 17, 74
"c:\Source\anita\app\src\app\ui-react-components\projects\no-projects.component.tsx", "TypeScript React", 34, 0, 0, 1, 5, 40
"c:\Source\anita\app\src\app\ui-react-components\projects\project-card-components\project-loaded-footer.component.tsx", "TypeScript React", 13, 0, 0, 0, 2, 15
"c:\Source\anita\app\src\app\ui-react-components\projects\project-card-components\project-not-loaded-footer.component.tsx", "TypeScript React", 7, 0, 0, 0, 2, 9
"c:\Source\anita\app\src\app\ui-react-components\projects\project-card.component.tsx", "TypeScript React", 30, 0, 0, 0, 7, 37
"c:\Source\anita\app\src\app\ui-react-components\projects\projects-list.component.tsx", "TypeScript React", 62, 0, 0, 2, 17, 81
"c:\Source\anita\app\src\app\ui-react-components\shared-components\buttons\add-edit-element-button.component.tsx", "TypeScript React", 30, 0, 0, 0, 10, 40
"c:\Source\anita\app\src\app\ui-react-components\shared-components\buttons\buttons-layout-tw-classes.const.ts", "TypeScript", 0, 4, 0, 0, 1, 5
